City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ambilobe,84,MG,1561598085,88,-13.19,49.05,294.916,1.45
San Martin,1,US,1561598390,68,37.08,-121.61,295.93,5.1
Merauke,92,ID,1561598391,82,-8.49,140.4,298.816,8.94
Sambava,0,MG,1561598391,87,-14.27,50.17,291.816,1.49
Bhadrachalam,79,IN,1561598391,73,17.67,80.89,301.016,2.05
Sao Miguel do Araguaia,16,BR,1561598391,47,-13.28,-50.16,296.016,1.0
Ashland,1,US,1561598192,88,38.48,-82.64,302.15,2.32
Steamboat Springs,1,US,1561598280,29,40.48,-106.83,299.15,4.1
Pergamino,36,AR,1561598391,59,-33.9,-60.57,282.04,3.58
Kamen-Rybolov,100,RU,1561598392,89,44.75,132.04,290.416,2.07
Sochi,20,RU,1561598143,78,43.6,39.73,296.15,5.0
Changde,21,CN,1561598392,77,29.04,111.68,298.616,0.82
Fort Nelson,90,CA,1561598298,67,58.81,-122.69,289.15,4.1
Inuvik,75,CA,1561598392,37,68.36,-133.71,285.15,5.7
Shimoda,75,JP,1561598321,88,34.7,138.93,300.93,5.7
Zwedru,100,LR,1561598392,98,6.07,-8.13,295.016,1.39
Diu,29,IN,1561598392,82,20.71,70.98,301.216,3.29
Nouakchott,8,MR,1561598393,45,18.08,-15.98,303.15,7.2
Yamada,75,JP,1561598393,61,36.58,137.08,301.15,6.7
Galiakot,93,IN,1561598393,80,23.54,74.01,300.116,4.02
Providencia,62,CO,1561598393,98,1.24,-77.6,287.016,0.28
Namibe,100,AO,1561598337,81,-15.19,12.15,291.516,6.1
Beringovskiy,91,RU,1561598324,75,63.05,179.32,284.616,1.73
Roura,100,GF,1561598393,94,4.73,-52.33,298.15,1.0
Manzhouli,61,CN,1561598393,83,49.6,117.43,288.516,6.78
Zhanaozen,80,KZ,1561598394,52,43.35,52.85,297.816,4.81
San Policarpo,97,PH,1561598394,80,12.18,125.51,300.216,1.61
Coahuayana,68,MX,1561598394,65,18.62,-100.35,302.016,1.33
Norman Wells,20,CA,1561598301,38,65.28,-126.83,289.15,4.6
Ahipara,0,NZ,1561598294,100,-35.17,173.16,287.59,0.89
Loknya,100,RU,1561598394,93,54.21,39.24,287.59,0.7
Kavali,100,IN,1561598394,63,14.91,79.99,301.716,5.66
Stakhanov,19,UA,1561598395,74,48.57,38.64,288.516,1.04
Margate,0,AU,1561598371,76,-43.03,147.26,286.48,5.7
Dolores,30,UY,1561598395,73,-33.53,-58.22,282.216,5.67
Inverness,0,GB,1561598395,93,57.48,-4.23,285.15,3.6
North Bend,90,US,1561598395,93,43.41,-124.22,289.82,4.6
Linxia,100,CN,1561598395,98,35.6,103.21,283.216,1.23
Teterow,20,DE,1561598396,77,53.77,12.58,288.71,8.2
Ochakiv,0,UA,1561598396,68,46.61,31.55,293.15,2.0
Sinjar,0,SY,1561598396,47,35.59,37.0,298.016,4.08
Sulangan,100,PH,1561598311,69,11.14,123.72,301.216,1.4
Oktyabrskiy,75,RU,1561598396,93,55.61,37.97,288.15,1.0
Cap Malheureux,75,MU,1561598322,88,-19.98,57.61,297.15,5.1
Senador Jose Porfirio,100,BR,1561598396,80,-2.59,-51.95,299.216,1.82
Westport,1,US,1561598381,57,41.14,-73.36,298.71,2.1
Tulun,15,RU,1561598397,90,54.56,100.58,288.716,2.17
Mogzon,42,RU,1561598397,73,51.74,111.97,288.216,1.95
Suhl,0,DE,1561598397,77,50.61,10.69,296.48,1.0
Samana,2,EC,1561598397,97,0.12,-76.97,295.916,0.87
Talnakh,0,RU,1561598091,61,69.49,88.39,281.15,3.0
Mananjary,25,MG,1561598397,86,-19.16,46.8,286.716,1.63
Quatre Cocos,75,MU,1561598286,88,-20.21,57.76,297.15,5.1
Peleduy,0,RU,1561598397,48,59.63,112.75,294.816,5.02
Qaqortoq,75,GL,1561598372,87,60.72,-46.03,282.15,1.6
Laguna,90,BZ,1561597958,83,16.17,-88.94,301.15,3.1
Labuhan,24,ID,1561598338,77,-2.54,115.51,298.216,0.38
Kalemie,3,CD,1561598398,59,-5.95,29.2,291.116,0.67
Visegrad,0,BA,1561598398,93,43.78,19.3,289.15,0.5
Nelson Bay,20,AU,1561598297,87,-32.72,152.14,290.93,1.0
Tazovskiy,100,RU,1561598343,72,67.47,78.7,278.716,4.12
Fukue,75,JP,1561598398,88,35.03,136.69,298.71,6.2
Ojhar,96,IN,1561598398,87,20.09,73.93,297.316,2.27
Alihe,100,CN,1561598398,60,50.57,123.73,289.716,4.11
Turan,24,RU,1561598399,85,52.15,93.92,284.816,0.61
Allapalli,31,IN,1561598399,70,19.43,80.06,301.616,1.66
Hangu,20,PK,1561598399,45,33.53,71.06,301.15,2.1
Madinat Sittah Uktubar,0,EG,1561598399,58,29.82,31.05,301.15,2.6
Poso,61,ID,1561598399,88,-1.4,120.75,292.816,1.28
Ulladulla,20,AU,1561598092,87,-35.36,150.48,288.15,2.1
Santa Rosalia,0,IT,1561598400,88,38.07,13.27,299.26,5.1
Dunedin,0,NZ,1561598131,65,-45.87,170.5,283.616,3.68
Taoudenni,0,ML,1561598400,7,22.68,-3.98,310.116,5.25
Mercedes,30,UY,1561598400,73,-33.25,-58.03,282.216,5.67
Port Shepstone,24,ZA,1561598400,93,-30.74,30.45,285.016,2.77
Havre-Saint-Pierre,90,CA,1561598269,67,50.23,-63.6,288.15,4.1
Sungairaya,37,ID,1561598400,80,0.7,108.9,301.616,6.77
Kyren,100,RU,1561598401,98,51.68,102.13,277.216,1.53
Sai Buri,75,TH,1561598401,94,6.7,101.62,298.15,2.1
Severobaykalsk,100,RU,1561598401,71,55.65,109.32,286.016,1.62
Mamallapuram,90,IN,1561598401,88,12.63,80.17,301.15,2.6
Sault Sainte Marie,1,CA,1561598401,53,46.49,-84.36,296.15,1.77
Mecca,43,SA,1561598401,32,21.43,39.83,305.216,2.67
Turukhansk,100,RU,1561598402,88,65.8,87.96,283.416,6.42
Gornopravdinsk,11,RU,1561598402,69,60.06,69.92,282.116,2.91
Sechura,2,PE,1561598325,85,-5.56,-80.82,291.816,6.66
Topolobampo,20,MX,1561598402,40,25.6,-109.05,306.48,6.2
Luderitz,0,NA,1561598019,93,-26.65,15.16,281.15,0.5
Alice Springs,0,AU,1561598402,41,-23.7,133.88,287.15,1.5
Ranong,75,TH,1561598402,94,9.96,98.62,299.15,1.0
Anloga,72,GH,1561598402,86,5.79,0.9,298.016,3.8
Kopervik,64,NO,1561598403,87,59.28,5.31,285.15,3.1
Irtyshskiy,7,RU,1561598403,80,58.33,68.13,280.816,2.13
Nha Trang,20,VN,1561598403,55,12.24,109.19,306.15,2.1
Bogorodskoye,25,RU,1561598403,63,52.37,140.44,284.216,3.92
Maldonado,0,UY,1561598403,75,-34.91,-54.96,281.15,2.1
Port Hedland,73,AU,1561598385,72,-20.31,118.58,293.15,2.1
Rabo de Peixe,20,PT,1561598403,77,37.8,-25.58,290.15,5.1
Torbat-e Jam,0,IR,1561598404,14,35.24,60.63,294.416,3.52
Dongsheng,66,CN,1561598404,70,29.72,112.52,300.016,1.58
Meget,75,RU,1561598404,100,52.42,104.06,285.15,3.0
Jacksonville,75,US,1561598129,48,30.33,-81.66,303.15,4.1
Chaman,0,AF,1561598405,13,30.92,66.46,295.516,2.03
Umm Lajj,0,SA,1561598405,62,25.02,37.27,303.416,5.57
Pechenga,0,RU,1561598405,94,58.89,41.46,278.416,1.44
Bonanza,89,NI,1561598405,96,14.03,-84.62,295.816,1.46
Griffith,0,AU,1561598405,76,-34.29,146.06,285.93,3.1
Nhulunbuy,40,AU,1561598267,69,-12.18,136.78,299.15,5.7
Wanaka,0,NZ,1561598319,90,-44.7,169.14,276.48,1.81
Salinas,40,US,1561598134,63,36.67,-121.66,297.04,4.6
La Rioja,18,AR,1561598406,45,-29.41,-66.86,279.216,0.88
Tel Aviv-Yafo,0,IL,1561598319,78,32.08,34.78,297.15,1.5
Aden,100,YE,1561598406,68,12.79,45.03,304.316,4.37
Aranos,79,NA,1561598406,30,-24.14,19.11,284.116,2.56
Santa Ana,1,US,1561598364,53,33.75,-117.87,298.71,4.1
Creel,81,MX,1561598407,24,27.75,-107.63,299.616,2.28
Plouzane,90,FR,1561598407,93,48.38,-4.62,291.15,6.7
Salinopolis,91,BR,1561598407,78,-0.61,-47.36,301.216,7.95
Pevek,0,RU,1561598081,86,69.7,170.27,274.216,7.05
Naron,0,ES,1561598407,93,43.52,-8.15,290.93,0.5
Ratnagiri,48,IN,1561598407,80,16.98,73.3,301.816,7.32
Toucheng,40,TW,1561598408,74,24.86,121.82,305.93,2.1
Walvis Bay,53,NA,1561598317,82,-22.95,14.51,288.15,6.2
Pastavy,82,BY,1561598408,93,55.11,26.84,292.216,2.3
Omsukchan,75,RU,1561598408,39,62.53,155.8,289.416,5.42
Yukhnov,100,RU,1561598408,99,54.74,35.23,288.116,1.48
Zhigansk,0,RU,1561598343,50,66.77,123.37,295.916,3.9
Anderson,1,US,1561598409,74,34.51,-82.65,300.37,0.89
Port Hardy,40,CA,1561598278,59,50.7,-127.42,292.15,4.1
Gigmoto,90,PH,1561598310,73,13.78,124.39,302.216,3.97
Gombong,51,ID,1561598409,78,-7.19,109.31,296.816,4.06
Zelenoborskiy,99,RU,1561598409,82,66.84,32.36,283.716,1.42
Henties Bay,53,NA,1561598409,90,-22.12,14.28,286.48,2.68
Jackson,1,US,1561598410,26,43.48,-110.76,296.15,7.2
Hamilton,20,CA,1561598082,50,43.26,-79.87,299.26,3.6
Libreville,20,GA,1561598410,83,0.39,9.45,298.15,2.6
Beian,75,NO,1561598410,87,63.66,9.57,284.82,8.2
Hovd,75,NO,1561598410,76,63.83,10.7,285.15,7.7
San Jose,82,PH,1561598412,78,15.79,120.99,300.816,2.57
Hirara,75,JP,1561598296,83,24.8,125.28,301.15,6.7
Torres,50,BR,1561598278,80,-29.34,-49.73,279.916,1.01
Sorong,100,ID,1561598412,82,-0.86,131.25,299.916,4.75
Kampong Thum,54,KH,1561598412,85,12.71,104.89,300.316,1.19
Abu Samrah,0,SY,1561598412,47,35.3,37.18,298.016,4.08
